x,y
77.7, 980.7
78.7, 1066.1
80.0, 870.9
80.6, 775.6
85.1, 653.2
92.8, 506.6
110.4, 404.6
131.4, 350.1
153.3, 323.4
175.6, 301.6
197.2, 288.1
221.3, 276.4
242.1, 268.1
264.2, 260.0
286.3, 253.9
308.3, 247.8
330.6, 242.3
352.0, 237.6
374.2, 233.1
396.4, 229.7
419.2, 224.7
437.1, 221.5
466.2, 216.8
487.9, 212.4
510.1, 209.4
531.0, 206.4
554.3, 203.2
576.0, 200.0
597.6, 195.8
619.9, 192.9
641.9, 189.3
663.3, 187.3
686.8, 182.4
709.6, 179.8
733.2, 176.6
752.7, 173.9
774.2, 170.4
796.6, 169.0
818.6, 164.5
840.1, 162.3
862.5, 159.7
884.5, 156.9
906.4, 153.5
928.4, 151.2
950.3, 149.7
972.3, 147.2
990.5, 146.4
